
============================== SIGNAL 1 FINAL OUTPUT ==============================
Idx  | Hex(Real)  | Real (Float) | Hex(Imag)  | Imag (Float)
417  | 3f747ac0   | 0.95500      | c05a4b13   | -3.41083    
418  | beaac334   | -0.33352     | bfedfad3   | -1.85922    
419  | 4099c50e   | 4.80530      | bf8ebaee   | -1.11508    
420  | 4003fa85   | 2.06217      | 3da918f4   | 0.08257     
421  | 4001494f   | 2.02010      | 40583e67   | 3.37881     
422  | bff4f720   | -1.91379     | 403f2a46   | 2.98696     
423  | 3fb9b1ee   | 1.45074      | 40a046a9   | 5.00863     
424  | 3fc48f11   | 1.53562      | 3ffd3a2c   | 1.97834     
425  | 41276010   | 10.46095     | c012d1fe   | -2.29407    
426  | c0fd83ad   | -7.92232     | c0747e89   | -3.82022    
427  | c033506a   | -2.80178     | c08819f3   | -4.25317    
428  | 4019c248   | 2.40248      | 3fb871f4   | 1.44098     
429  | bf527f2e   | -0.82225     | c162ae29   | -14.16752   
430  | 40b90234   | 5.78152      | c06cb6aa   | -3.69865    
431  | c03e0e4c   | -2.96962     | 40dd9b88   | 6.92524     
432  | 3fc5f2dc   | 1.54647      | bfddaf90   | -1.73192    
433  | 3f1879ea   | 0.59561      | bfdb635b   | -1.71397    
434  | 40dfbdf9   | 6.99194      | c0777e96   | -3.86710    
435  | 3fd3ad2c   | 1.65372      | 40de4b78   | 6.94671     
436  | 3fbe5df7   | 1.48724      | 403464de   | 2.81866     
437  | bdad0b14   | -0.08449     | c0bc37d4   | -5.88181    
438  | bfc466bd   | -1.53439     | 3f9c6d4b   | 1.22209     
439  | c0841e47   | -4.12870     | c097763b   | -4.73318    
440  | c1073679   | -8.45080     | 400dbbbc   | 2.21458     
441  | c08d2fb7   | -4.41207     | c00d7650   | -2.21035    
442  | c0c5b4dd   | -6.17833     | 4055c736   | 3.34028     
443  | c00df477   | -2.21805     | 412be355   | 10.74300    
444  | c0f5607b   | -7.66803     | c090c56f   | -4.52410    
445  | c02426f0   | -2.56488     | c031603d   | -2.77150    
446  | 410d5d94   | 8.83535      | 40c04dcc   | 6.00950     
447  | bf995e34   | -1.19819     | 402b1d7a   | 2.67367     
448  | 3f9aa64e   | 1.20820      | c0e32cb3   | -7.09921    
449  | bf6fedea   | -0.93722     | 405f38a1   | 3.48783     
450  | 4098ccb4   | 4.77499      | 411acb5c   | 9.67465     
451  | 40b8d29b   | 5.77571      | 402b2a4f   | 2.67446     
452  | 40cf4281   | 6.47687      | c0674dd5   | -3.61413    
453  | 402a7c48   | 2.66384      | 3fbb001d   | 1.46094     
454  | 3ff0e389   | 1.88194      | 4041a465   | 3.02566     
455  | c01e1a63   | -2.47036     | bf5ae072   | -0.85499    
456  | 3d947fcb   | 0.07251      | 3b15cf9b   | 0.00229     
457  | c09102ee   | -4.53161     | 40f4372b   | 7.63173     
458  | c01f5912   | -2.48981     | 3f7122f0   | 0.94194     
459  | c07ef2db   | -3.98357     | 3f893e81   | 1.07222     
460  | 408ced69   | 4.40398      | 40dda09c   | 6.92586     
461  | c0795df2   | -3.89636     | c0a22097   | -5.06648    
462  | 414660c0   | 12.39862     | 40837241   | 4.10770     
463  | bf9f4db4   | -1.24456     | c073ed1e   | -3.81135    
464  | bf93ad76   | -1.15373     | c0ab2031   | -5.34768    
465  | bf908c2a   | -1.12928     | 4104abbf   | 8.29193     
466  | c0f2eabb   | -7.59115     | c02fe8ec   | -2.74859    
467  | c115650a   | -9.33717     | c097eea7   | -4.74788    
468  | c07f8803   | -3.99268     | c07a5a9c   | -3.91178    
469  | 3fc37282   | 1.52693      | 4070fd6b   | 3.76547     
470  | 3fb5f0f0   | 1.42142      | c0217d9c   | -2.52329    
471  | bfc68b5b   | -1.55113     | bfc837b3   | -1.56420    
472  | 40362f65   | 2.84664      | c0998578   | -4.79754    
473  | c0cb82cc   | -6.35972     | bf94a5e8   | -1.16131    
474  | 409d3963   | 4.91326      | 40986663   | 4.76250     
475  | 3e882494   | 0.26590      | 40ec540c   | 7.38526     
476  | c01f3fd1   | -2.48827     | 3eb9e1c3   | 0.36305     
477  | c0dece1a   | -6.96266     | bfc83e21   | -1.56440    
478  | c0c38438   | -6.10989     | c009d80f   | -2.15381    
479  | 4082d923   | 4.08901      | 3f020c08   | 0.50800     
480  | bf34d667   | -0.70640     | c09ccb5b   | -4.89982    
481  | be8d86a6   | -0.27642     | c041d2a9   | -3.02848    
482  | c07c4ee5   | -3.94232     | 3f8fcf4c   | 1.12351     
483  | c109273d   | -8.57208     | bfca2df2   | -1.57953    
484  | 3f30ddd6   | 0.69088      | 409699a5   | 4.70626     
485  | bd54bc09   | -0.05194     | 408c85b9   | 4.39132     
486  | c0764e16   | -3.84852     | c0d80aea   | -6.75133    
487  | 407faa31   | 3.99476      | c08e72b6   | -4.45150    
488  | 4039d295   | 2.90348      | c0225191   | -2.53623    
489  | c06d25db   | -3.70544     | 3f68ec8a   | 0.90986     
490  | 40c7a1b1   | 6.23849      | c0789a9d   | -3.88444    
491  | 3f5051a3   | 0.81375      | bfbc17f3   | -1.46948    
492  | bfe7ad9e   | -1.80999     | 40d36ee9   | 6.60729     
493  | 4083bd33   | 4.11685      | bfe020f0   | -1.75101    
494  | c0a76f7b   | -5.23236     | c027bfaa   | -2.62107    
495  | 3f928558   | 1.14469      | bf46926f   | -0.77567    
496  | c1334531   | -11.20439    | bfa3ff55   | -1.28123    
497  | bf27176e   | -0.65270     | bf96acca   | -1.17715    
498  | 4035cac2   | 2.84050      | bfa4383d   | -1.28297    
499  | c0cb7947   | -6.35855     | bfc6505f   | -1.54933    
500  | c0944d0d   | -4.63441     | 3ff80731   | 1.93772     
501  | 40aeb964   | 5.46013      | c0aaa767   | -5.33293    
502  | 3ee426de   | 0.44561      | c02a5139   | -2.66121    
503  | 40673b33   | 3.61299      | bf3cab65   | -0.73699    
504  | 4004221b   | 2.06458      | 3e049d0f   | 0.12951     
505  | 400f0113   | 2.23444      | 3f865fbc   | 1.04980     
506  | bffe3823   | -1.98609     | c0dbb429   | -6.86574    
507  | 3fb1d499   | 1.38930      | c03dc3c5   | -2.96507    
508  | 4112f7b1   | 9.18547      | 40db8ba5   | 6.86080     
509  | 3fe8cb26   | 1.81870      | c0335836   | -2.80226    
510  | 3fe19305   | 1.76230      | c0b88249   | -5.76590    
511  | bfd22ab3   | -1.64193     | 4002bd78   | 2.04281     
512  | bfedd3d6   | -1.85803     | 00000000   | 0.00000     
513  | bfd22ab3   | -1.64193     | c002bd78   | -2.04281    
514  | 3fe19305   | 1.76230      | 40b88249   | 5.76590     
515  | 3fe8cb26   | 1.81870      | 40335836   | 2.80226     
516  | 4112f7b1   | 9.18547      | c0db8ba5   | -6.86080    
517  | 3fb1d499   | 1.38930      | 403dc3c5   | 2.96507     
518  | bffe3823   | -1.98609     | 40dbb429   | 6.86574     
519  | 400f0113   | 2.23444      | bf865fbc   | -1.04980    
520  | 4004221b   | 2.06458      | be049d0f   | -0.12951    
521  | 40673b33   | 3.61299      | 3f3cab65   | 0.73699     
522  | 3ee426de   | 0.44561      | 402a5139   | 2.66121     
523  | 40aeb964   | 5.46013      | 40aaa767   | 5.33293     
524  | c0944d0d   | -4.63441     | bff80731   | -1.93772    
525  | c0cb7947   | -6.35855     | 3fc6505f   | 1.54933     
526  | 4035cac2   | 2.84050      | 3fa4383d   | 1.28297     
527  | bf27176e   | -0.65270     | 3f96acca   | 1.17715     
528  | c1334531   | -11.20439    | 3fa3ff55   | 1.28123     
529  | 3f928558   | 1.14469      | 3f46926f   | 0.77567     
530  | c0a76f7b   | -5.23236     | 4027bfaa   | 2.62107     
531  | 4083bd33   | 4.11685      | 3fe020f0   | 1.75101     
532  | bfe7ad9e   | -1.80999     | c0d36ee9   | -6.60729    
533  | 3f5051a3   | 0.81375      | 3fbc17f3   | 1.46948     
534  | 40c7a1b1   | 6.23849      | 40789a9d   | 3.88444     
535  | c06d25db   | -3.70544     | bf68ec8a   | -0.90986    
536  | 4039d295   | 2.90348      | 40225191   | 2.53623     
537  | 407faa31   | 3.99476      | 408e72b6   | 4.45150     
538  | c0764e16   | -3.84852     | 40d80aea   | 6.75133     
539  | bd54bc09   | -0.05194     | c08c85b9   | -4.39132    
540  | 3f30ddd6   | 0.69088      | c09699a5   | -4.70626    
541  | c109273d   | -8.57208     | 3fca2df2   | 1.57953     
542  | c07c4ee5   | -3.94232     | bf8fcf4c   | -1.12351    
543  | be8d86a6   | -0.27642     | 4041d2a9   | 3.02848     
544  | bf34d667   | -0.70640     | 409ccb5b   | 4.89982     
545  | 4082d923   | 4.08901      | bf020c08   | -0.50800    
546  | c0c38438   | -6.10989     | 4009d80f   | 2.15381     
547  | c0dece1a   | -6.96266     | 3fc83e21   | 1.56440     
548  | c01f3fd1   | -2.48827     | beb9e1c3   | -0.36305    
549  | 3e882494   | 0.26590      | c0ec540c   | -7.38526    
550  | 409d3963   | 4.91326      | c0986663   | -4.76250    
551  | c0cb82cc   | -6.35972     | 3f94a5e8   | 1.16131     
552  | 40362f65   | 2.84664      | 40998578   | 4.79754     
553  | bfc68b5b   | -1.55113     | 3fc837b3   | 1.56420     
554  | 3fb5f0f0   | 1.42142      | 40217d9c   | 2.52329     
555  | 3fc37282   | 1.52693      | c070fd6b   | -3.76547    
556  | c07f8803   | -3.99268     | 407a5a9c   | 3.91178     
557  | c115650a   | -9.33717     | 4097eea7   | 4.74788     
558  | c0f2eabb   | -7.59115     | 402fe8ec   | 2.74859     
559  | bf908c2a   | -1.12928     | c104abbf   | -8.29193    
560  | bf93ad76   | -1.15373     | 40ab2031   | 5.34768     
561  | bf9f4db4   | -1.24456     | 4073ed1e   | 3.81135     
562  | 414660c0   | 12.39862     | c0837241   | -4.10770    
563  | c0795df2   | -3.89636     | 40a22097   | 5.06648     
564  | 408ced69   | 4.40398      | c0dda09c   | -6.92586    
565  | c07ef2db   | -3.98357     | bf893e81   | -1.07222    
566  | c01f5912   | -2.48981     | bf7122f0   | -0.94194    
567  | c09102ee   | -4.53161     | c0f4372b   | -7.63173    
568  | 3d947fcb   | 0.07251      | bb15cf9b   | -0.00229    
569  | c01e1a63   | -2.47036     | 3f5ae072   | 0.85499     
570  | 3ff0e389   | 1.88194      | c041a465   | -3.02566    
571  | 402a7c48   | 2.66384      | bfbb001d   | -1.46094    
572  | 40cf4281   | 6.47687      | 40674dd5   | 3.61413     
573  | 40b8d29b   | 5.77571      | c02b2a4f   | -2.67446    
574  | 4098ccb4   | 4.77499      | c11acb5c   | -9.67465    
575  | bf6fedea   | -0.93722     | c05f38a1   | -3.48783    
576  | 3f9aa64e   | 1.20820      | 40e32cb3   | 7.09921     
577  | bf995e34   | -1.19819     | c02b1d7a   | -2.67367    
578  | 410d5d94   | 8.83535      | c0c04dcc   | -6.00950    
579  | c02426f0   | -2.56488     | 4031603d   | 2.77150     
580  | c0f5607b   | -7.66803     | 4090c56f   | 4.52410     
581  | c00df477   | -2.21805     | c12be355   | -10.74300   
582  | c0c5b4dd   | -6.17833     | c055c736   | -3.34028    
583  | c08d2fb7   | -4.41207     | 400d7650   | 2.21035     
584  | c1073679   | -8.45080     | c00dbbbc   | -2.21458    
585  | c0841e47   | -4.12870     | 4097763b   | 4.73318     
586  | bfc466bd   | -1.53439     | bf9c6d4b   | -1.22209    
587  | bdad0b14   | -0.08449     | 40bc37d4   | 5.88181     
588  | 3fbe5df7   | 1.48724      | c03464de   | -2.81866    
589  | 3fd3ad2c   | 1.65372      | c0de4b78   | -6.94671    
590  | 40dfbdf9   | 6.99194      | 40777e96   | 3.86710     
591  | 3f1879ea   | 0.59561      | 3fdb635b   | 1.71397     
592  | 3fc5f2dc   | 1.54647      | 3fddaf90   | 1.73192     
593  | c03e0e4c   | -2.96962     | c0dd9b88   | -6.92524    
594  | 40b90234   | 5.78152      | 406cb6aa   | 3.69865     
595  | bf527f2e   | -0.82225     | 4162ae29   | 14.16752    
596  | 4019c248   | 2.40248      | bfb871f4   | -1.44098    
597  | c033506a   | -2.80178     | 408819f3   | 4.25317     
598  | c0fd83ad   | -7.92232     | 40747e89   | 3.82022     
599  | 41276010   | 10.46095     | 4012d1fe   | 2.29407     
600  | 3fc48f11   | 1.53562      | bffd3a2c   | -1.97834    
601  | 3fb9b1ee   | 1.45074      | c0a046a9   | -5.00863    
602  | bff4f720   | -1.91379     | c03f2a46   | -2.98696    
603  | 4001494f   | 2.02010      | c0583e67   | -3.37881    
604  | 4003fa85   | 2.06217      | bda918f4   | -0.08257    
605  | 4099c50e   | 4.80530      | 3f8ebaee   | 1.11508     
606  | beaac334   | -0.33352     | 3fedfad3   | 1.85922     
607  | 3f747ac0   | 0.95500      | 405a4b13   | 3.41083     
608  | c00bc56e   | -2.18393     | 3fd0f35c   | 1.63243     
609  | 408d2546   | 4.41080      | c0db6d06   | -6.85706    
610  | be003d56   | -0.12523     | bee63f98   | -0.44970    
611  | c0924e63   | -4.57207     | c08e3936   | -4.44448    
612  | bec01e4b   | -0.37523     | 410edd30   | 8.92900     
613  | 4098ca65   | 4.77471      | c109b562   | -8.60678    
614  | bf71907a   | -0.94361     | 407b975a   | 3.93111     
615  | 403c124a   | 2.93862      | 40e5477c   | 7.16498     
616  | c08bb7bb   | -4.36618     | c0ae52a4   | -5.44759    
617  | 4105e702   | 8.36890      | 3f6a1691   | 0.91441     
618  | bfc8369f   | -1.56417     | 3f74c501   | 0.95613     
619  | 40aa74ca   | 5.32676      | c00c1c22   | -2.18922    
620  | c00eeef8   | -2.23334     | c02e34c7   | -2.72197    
621  | c0e523d4   | -7.16062     | becc0878   | -0.39850    
622  | 3e1cb0fa   | 0.15302      | 3feff01a   | 1.87451     
623  | c0a8666c   | -5.26250     | 40adae97   | 5.42756     
624  | bf79f7ad   | -0.97644     | c0c494df   | -6.14317    
625  | 3dfaa66c   | 0.12239      | c0c87feb   | -6.26561    
626  | 3f59f792   | 0.85143      | 4089c854   | 4.30570     
627  | c07c82b0   | -3.94548     | 406becb4   | 3.68632     
628  | 3eee8332   | 0.46584      | 40e03fb9   | 7.00778     
629  | c0cf47bd   | -6.47751     | 40b84261   | 5.75810     
630  | 3fb251d3   | 1.39312      | c064276e   | -3.56491    
631  | 40b4d4d4   | 5.65098      | 40e91717   | 7.28407     
632  | be377c17   | -0.17918     | c10c291c   | -8.76004    
633  | c0ec568e   | -7.38557     | c120b5e7   | -10.04441   
634  | c079016a   | -3.89071     | bea38d48   | -0.31944    
635  | c0a5efed   | -5.18554     | 40e6805f   | 7.20317     
636  | c0ab1620   | -5.34645     | c030352a   | -2.75324    
637  | 40a3ce2d   | 5.11892      | bec00c17   | -0.37509    
638  | c082719e   | -4.07637     | bf70394d   | -0.93837    
639  | 409d0619   | 4.90699      | c094843a   | -4.64114    
640  | c058d59c   | -3.38804     | 40264045   | 2.59767     
641  | c0875f05   | -4.23035     | 40168d36   | 2.35237     
642  | c0bf347b   | -5.97516     | 3eca1b14   | 0.39474     
643  | 40b795c0   | 5.73703      | 3f9b87c6   | 1.21508     
644  | bee1daf6   | -0.44112     | 40e498b7   | 7.14364     
645  | bf91bd48   | -1.13859     | c1020374   | -8.12584    
646  | c04eeb7c   | -3.23312     | 4011820d   | 2.27356     
647  | 3df03d58   | 0.11730      | 400fcfab   | 2.24705     
648  | c1084284   | -8.51624     | c0d93843   | -6.78812    
649  | 4021d0c8   | 2.52837      | 4018180e   | 2.37647     
650  | c0a19cf9   | -5.05041     | 410d14eb   | 8.81761     
651  | c01e1a13   | -2.47034     | 40c77a2a   | 6.23366     
652  | bfae90e2   | -1.36380     | 40241ca3   | 2.56425     
653  | bf02bab6   | -0.51066     | c00d7f7a   | -2.21091    
654  | c080dbfb   | -4.02685     | 40af7cbe   | 5.48398     
655  | 40263f47   | 2.59761      | 41052184   | 8.32068     
656  | 3f0742c1   | 0.52836      | 407c06f9   | 3.93793     
657  | 40098b31   | 2.14912      | c0a1de32   | -5.05837    
658  | c06311ea   | -3.54797     | c09b7744   | -4.85831    
659  | bfbf1657   | -1.49287     | 3ebaa0a2   | 0.36451     
660  | 4118b495   | 9.54409      | 3e831921   | 0.25605     
661  | bf61da2f   | -0.88224     | c0889152   | -4.26774    
662  | 411e2599   | 9.88418      | c00e395d   | -2.22225    
663  | 3f3f5c8b   | 0.74751      | 3de5e47e   | 0.11225     
664  | bf0ed0c6   | -0.55787     | c039cbbd   | -2.90306    
665  | 3fc65f5a   | 1.54978      | 3fce1f4f   | 1.61033     
666  | bf9753d0   | -1.18225     | c038cb18   | -2.88740    
667  | bfbb24df   | -1.46206     | bfbb2c53   | -1.46229    
668  | c07e5d19   | -3.97443     | c02867ab   | -2.63133    
669  | 4013afff   | 2.30762      | 41001b77   | 8.00671     
670  | 40edeb2b   | 7.43496      | 4105ed2d   | 8.37040     
671  | c0751d41   | -3.82991     | bf9fcb2a   | -1.24839    
672  | 3fc0b3da   | 1.50549      | c0867a78   | -4.20245    
673  | c10a6c96   | -8.65151     | c04ac588   | -3.16831    
674  | 409fe49f   | 4.99666      | 40f7f98f   | 7.74921     
675  | 3fd233dd   | 1.64221      | c0375d19   | -2.86506    
676  | 3fe7fb05   | 1.81235      | c0e234ca   | -7.06894    
677  | bf04c53c   | -0.51863     | 408fc715   | 4.49305     
678  | 3eff77ad   | 0.49896      | 3fb01735   | 1.37571     
679  | c048112e   | -3.12605     | c07b379a   | -3.92527    
680  | c0de758c   | -6.95185     | c0509627   | -3.25916    
681  | 40a9cdb3   | 5.30636      | 404008f4   | 3.00055     
682  | 4102bb47   | 8.17072      | 3fcff51a   | 1.62467     
683  | bee8f485   | -0.45499     | c10042e5   | -8.01633    
684  | c0327382   | -2.78830     | 40b99a77   | 5.80011     
685  | c0867b81   | -4.20258     | 40610c1b   | 3.51636     
686  | 4038bfb5   | 2.88670      | 406ff2c0   | 3.74919     
687  | c0f347d6   | -7.60252     | c0d116e9   | -6.53405    
688  | 41113919   | 9.07644      | 3fa04f0d   | 1.25241     
689  | 3fcddb0b   | 1.60825      | c10a3970   | -8.63902    
690  | bfc7ab92   | -1.55992     | 3fee2b94   | 1.86070     
691  | c02567db   | -2.58446     | c0fa3f65   | -7.82024    
692  | 40ade6ca   | 5.43442      | c0505962   | -3.25546    
693  | bfa0f844   | -1.25758     | c0bf73a9   | -5.98287    
694  | 40b6c126   | 5.71108      | bfd15a7b   | -1.63557    
695  | 4085c355   | 4.18009      | 4108f9f3   | 8.56102     
696  | c0003889   | -2.00345     | 40010af5   | 2.01629     
697  | 4096aee9   | 4.70885      | c0a60188   | -5.18769    
698  | bf504a14   | -0.81363     | c0f7c4a3   | -7.74275    
699  | bf0a9117   | -0.54128     | c08e8ae7   | -4.45446    
700  | bfb14fbb   | -1.38525     | c092ae7f   | -4.58380    
701  | 40d89468   | 6.76812      | 406ecea5   | 3.73136     
702  | c1000033   | -8.00005     | 40303a19   | 2.75355     
703  | 40d2d73e   | 6.58877      | bf281eab   | -0.65672    
704  | 4052ef6d   | 3.29586      | 403b5ad1   | 2.92742     
705  | 401db04d   | 2.46389      | c08344cb   | -4.10215    
706  | 4108af1a   | 8.54275      | 3fae0e69   | 1.35981     
707  | c035196a   | -2.82968     | 3d865022   | 0.06558     
708  | c11871ca   | -9.52778     | bfd52e75   | -1.66548    
709  | c0cd9d51   | -6.42545     | 40e42e6d   | 7.13067     
710  | c0ac2a34   | -5.38015     | c008905a   | -2.13381    
711  | bfbe63b4   | -1.48742     | 3fa2e430   | 1.27259     
712  | 3fec2b9e   | 1.84508      | bf8d76e7   | -1.10519    
713  | c0ba5259   | -5.82255     | c1028b03   | -8.15894    
714  | 3f6c5749   | 0.92321      | 3ea8b1ce   | 0.32948     
715  | 40b17b90   | 5.54633      | c02e6dac   | -2.72544    
716  | c0c21991   | -6.06562     | c02ac2e8   | -2.66815    
717  | 4010d308   | 2.26288      | bff16616   | -1.88593    
718  | c0511422   | -3.26685     | bed1864c   | -0.40923    
719  | 40d35a08   | 6.60474      | 40f0b1bb   | 7.52170     
720  | 40a91860   | 5.28423      | 3f1de8b7   | 0.61683     
721  | bf90af88   | -1.13036     | be187d2c   | -0.14891    
722  | bfdb49c6   | -1.71319     | bfe38cee   | -1.77774    
723  | 3f977cd5   | 1.18350      | 3f8fb389   | 1.12267     
724  | 403627ae   | 2.84617      | c129661a   | -10.58743   
725  | be663197   | -0.22480     | c029a448   | -2.65065    
726  | 409acb95   | 4.83735      | c08a60e1   | -4.32433    
727  | 40287a44   | 2.63246      | 4051ca83   | 3.27799     
728  | 4097f876   | 4.74908      | bff5f4aa   | -1.92153    
729  | bfbd4918   | -1.47879     | c032c130   | -2.79304    
730  | 40a61e13   | 5.19117      | bd4023a6   | -0.04691    
731  | c00a816e   | -2.16415     | 40e86c30   | 7.26321     
732  | bfb45d63   | -1.40910     | 4009302d   | 2.14357     
733  | c0e66eeb   | -7.20104     | 3f8b40fb   | 1.08792     
734  | bfbe7741   | -1.48801     | be855385   | -0.26040    
735  | 402d0a63   | 2.70376      | 4069576e   | 3.64596     
736  | 3e4c48f5   | 0.19950      | be3fe18b   | -0.18738    
737  | c0cc78f3   | -6.38976     | c0e51fca   | -7.16013    
738  | 3e0f9cfd   | 0.14025      | 403047cc   | 2.75438     
739  | 40de7c61   | 6.95268      | 40a3d5ac   | 5.11983     
740  | bf9fbd76   | -1.24797     | c0db0027   | -6.84377    
741  | 4052effb   | 3.29590      | bfc60999   | -1.54717    
742  | c06a10db   | -3.65728     | 404f5868   | 3.23977     
743  | c11cb005   | -9.79297     | bef6cc44   | -0.48203    
744  | c013ab51   | -2.30733     | c09751b1   | -4.72872    
745  | c0a76aab   | -5.23177     | c0ae2a5a   | -5.44267    
746  | c08dffde   | -4.43748     | c0deff01   | -6.96863    
747  | c02336f1   | -2.55023     | c07c8230   | -3.94545    
748  | c0225dc2   | -2.53697     | 40a83f15   | 5.25770     
749  | 3e34d0b7   | 0.17658      | c0b2cdc1   | -5.58762    
750  | 3d95ef28   | 0.07321      | 3f523c9f   | 0.82124     
751  | 3e50ee58   | 0.20403      | 3f83d034   | 1.02979     
752  | 40453abd   | 3.08171      | bf8a677c   | -1.08128    
753  | c141955b   | -12.09896    | 4121b594   | 10.10683    
754  | 3fe335bd   | 1.77508      | c08a4d00   | -4.32190    
755  | c0a5a05d   | -5.17583     | 40104765   | 2.25436     
756  | 3fac5da8   | 1.34661      | bee4a423   | -0.44656    
757  | c03d2e5a   | -2.95595     | c0badeeb   | -5.83971    
758  | bfc8d171   | -1.56889     | 3f3d0f74   | 0.73852     
759  | bfcfb840   | -1.62281     | 40c6f5a8   | 6.21749     
760  | 3fbde4b1   | 1.48354      | 408cebe8   | 4.40380     
761  | 40e79dd2   | 7.23802      | 3f8007f3   | 1.00024     
762  | 3d760725   | 0.06007      | c066bf03   | -3.60541    
763  | bf3d3f80   | -0.73925     | 4005a43e   | 2.08815     
764  | 3f50ed94   | 0.81613      | c106f1f1   | -8.43407    
765  | c05c2047   | -3.43947     | bf4a3fa7   | -0.79003    
766  | 402c0c3a   | 2.68825      | bfc7bf1a   | -1.56052    
767  | 3e02549c   | 0.12728      | 40134a86   | 2.30142     
768  | c01c294d   | -2.44002     | 3ee4a6d7   | 0.44659     
769  | 4090c64d   | 4.52421      | bebebb46   | -0.37252    
770  | 4007a62c   | 2.11952      | 40df5d18   | 6.98011     
771  | c0880103   | -4.25012     | 416ef982   | 14.93591    
772  | c232368d   | -44.55327    | 430b7878   | 139.47058   
773  | 40deabb8   | 6.95846      | c15387dc   | -13.22067   
774  | c0b83957   | -5.75700     | c1052dc4   | -8.32367    
775  | 3f8caceb   | 1.09903      | c0cd5804   | -6.41699    
776  | 408052b7   | 4.01010      | c09a5522   | -4.82289    
777  | 40307b3e   | 2.75752      | bfd6fb90   | -1.67955    
778  | bfd5b9c8   | -1.66973     | c059e61c   | -3.40467    
779  | c045029e   | -3.07828     | 405f9db5   | 3.49400     
780  | bf9d82d6   | -1.23056     | c09a5084   | -4.82233    
781  | c02a9a78   | -2.66568     | c097ed35   | -4.74771    
782  | 3fe660db   | 1.79983      | 403b6d83   | 2.92856     
783  | 40636323   | 3.55293      | bf58e19a   | -0.84719    
784  | 404e834c   | 3.22676      | 3c7e51e4   | 0.01552     
785  | c0b57272   | -5.67022     | c11c505b   | -9.76962    
786  | bf8af7a0   | -1.08568     | c0f5bb5d   | -7.67912    
787  | 3fb4d00f   | 1.41260      | 3e97c1c4   | 0.29640     
788  | c02af674   | -2.67129     | c04c747e   | -3.19461    
789  | 3fb0385c   | 1.37672      | c11356f6   | -9.20873    
790  | c0586ace   | -3.38152     | c001a454   | -2.02565    
791  | 4011cc6b   | 2.27810      | c0c69843   | -6.20609    
792  | 406fad7b   | 3.74496      | 40a3a49c   | 5.11384     
793  | c0cfc293   | -6.49250     | c03fadda   | -2.99499    
794  | c085d27d   | -4.18194     | c0e19618   | -7.04957    
795  | 40102b0e   | 2.25263      | 3fc8059e   | 1.56267     
796  | 40da754b   | 6.82682      | bf8f093b   | -1.11747    
797  | 411e4c5f   | 9.89365      | 3f483d12   | 0.78218     
798  | c12b4bac   | -10.70597    | c0a5e072   | -5.18365    
799  | 3fd7e376   | 1.68663      | 3f543202   | 0.82889     
800  | c05baf45   | -3.43257     | bf2bd71c   | -0.67125    
801  | 3fd0986e   | 1.62965      | c101aebc   | -8.10516    
802  | 3dd8af99   | 0.10580      | c1148214   | -9.28176    
803  | c0228573   | -2.53940     | 4097bc91   | 4.74177     
804  | c0389375   | -2.88400     | c0b21ab4   | -5.56576    
805  | 40a4b069   | 5.14653      | 400e0de1   | 2.21960     
806  | c0b8d8f7   | -5.77648     | c044b7e7   | -3.07372    
807  | c0563c38   | -3.34743     | 3fbb4096   | 1.46291     
808  | be366117   | -0.17810     | 408e9869   | 4.45610     
809  | bf9707b8   | -1.17992     | bf21d825   | -0.63220    
810  | 40790a24   | 3.89124      | 40176b82   | 2.36594     
811  | 3f1140fb   | 0.56740      | c0cac12c   | -6.33608    
812  | 40b72e6c   | 5.72442      | 40376b1b   | 2.86591     
813  | 400f1153   | 2.23543      | 40c012b6   | 6.00228     
814  | c0063e99   | -2.09757     | 40e644b8   | 7.19589     
815  | c07b3e96   | -3.92569     | c05e9cbb   | -3.47832    
816  | c08ce659   | -4.40312     | 3fd7309d   | 1.68117     
817  | c0240abb   | -2.56315     | 403d84a3   | 2.96122     
818  | bf370204   | -0.71487     | 3fda7509   | 1.70670     
819  | 407e276c   | 3.97116      | c08a4859   | -4.32133    
820  | 3fdc7f09   | 1.72263      | 4109d66e   | 8.61485     
821  | 40ce5435   | 6.44778      | 3faaa009   | 1.33301     
822  | bf882745   | -1.06370     | 405350aa   | 3.30180     
823  | c00d98c9   | -2.21245     | 40e859ac   | 7.26095     
824  | 3fd2e238   | 1.64753      | c0a24ee5   | -5.07213    
825  | c0140bc6   | -2.31322     | bf473f95   | -0.77831    
826  | 40aaf787   | 5.34272      | c0cc8593   | -6.39131    
827  | 3f8fd385   | 1.12364      | bfbdbb5a   | -1.48228    
828  | bfffde54   | -1.99897     | bf9c492d   | -1.22098    
829  | c031867a   | -2.77383     | c0160bc1   | -2.34447    
830  | c1438023   | -12.21878    | bf606b68   | -0.87664    
831  | 40e137c5   | 7.03806      | 3f8f9b87   | 1.12193     
832  | 3fc25f3b   | 1.51853      | c0138603   | -2.30505    
833  | 4067a494   | 3.61942      | 40df1f56   | 6.97258     
834  | 40fc1f2f   | 7.87881      | c067c9f6   | -3.62170    
835  | bf597606   | -0.84946     | bea7fbac   | -0.32809    
836  | 40419b83   | 3.02512      | c0ac8399   | -5.39106    
837  | c0470d51   | -3.11019     | c01c706f   | -2.44436    
838  | 400f86a9   | 2.24259      | c11db206   | -9.85596    
839  | c0217ab2   | -2.52311     | 3fcc6859   | 1.59693     
