
============================== SIGNAL 1 FINAL OUTPUT ==============================
Idx  | Hex(Real)  | Real (Float) | Hex(Imag)  | Imag (Float)
94   | c0b7dff0   | -5.74609     | bf656761   | -0.89611    
95   | bf0000a0   | -0.50001     | bfb7b2de   | -1.43515    
96   | c06f0b0b   | -3.73505     | 40c915bf   | 6.28390     
97   | 406098d4   | 3.50933      | c05e856b   | -3.47689    
98   | 40778b46   | 3.86788      | 411730ae   | 9.44938     
99   | 409f189c   | 4.97175      | c0ea4183   | -7.32050    
100  | bfe3c7ca   | -1.77953     | 40e74491   | 7.22712     
101  | c0a70901   | -5.21985     | bfa4fbed   | -1.28894    
102  | 3fa31083   | 1.27394      | beecc1d9   | -0.46242    
103  | c028b6d6   | -2.63616     | bedf287b   | -0.43586    
104  | 40a81ae0   | 5.25328      | 40209071   | 2.50882     
105  | c0dcef7a   | -6.90423     | 40e583a0   | 7.17232     
106  | 402edb8f   | 2.73215      | c0f20ca7   | -7.56404    
107  | 40bc8228   | 5.89089      | 3fb22ca8   | 1.39199     
108  | c065e49d   | -3.59208     | bff0c54b   | -1.88102    
109  | becc7f86   | -0.39941     | c12383d5   | -10.21969   
110  | 4023319f   | 2.54990      | 40e378ed   | 7.10851     
111  | 3f8c6276   | 1.09675      | 3fd4026b   | 1.65632     
112  | c0969e91   | -4.70686     | c0a75747   | -5.22940    
113  | 3e6e68f8   | 0.23282      | bd33c8d7   | -0.04389    
114  | 40169679   | 2.35293      | bf6ea370   | -0.93218    
115  | 3ee1aba9   | 0.44076      | 40354c46   | 2.83278     
116  | 3f48ec39   | 0.78485      | 3fdda398   | 1.73155     
117  | 406ffa49   | 3.74965      | c09ceb76   | -4.90374    
118  | 409bc808   | 4.86817      | 401b6d1a   | 2.42853     
119  | c0ad95e3   | -5.42455     | bfa4efe6   | -1.28857    
120  | be040821   | -0.12894     | 403b8170   | 2.92978     
121  | c0a6779e   | -5.20210     | 40f4e35c   | 7.65275     
122  | 403bd3a8   | 2.93479      | 4140ecc0   | 12.05780    
123  | c08834f5   | -4.25646     | bfbd0436   | -1.47669    
124  | c00948cf   | -2.14507     | be615eaa   | -0.22009    
125  | 4082b20d   | 4.08423      | 3e2111ee   | 0.15729     
126  | 3f389232   | 0.72098      | 40b16ca7   | 5.54451     
127  | 40b1f375   | 5.56097      | 40f0137f   | 7.50238     
128  | 3eb02a6e   | 0.34407      | c0eac12c   | -7.33608    
129  | c0a77f6f   | -5.23431     | bf9ea535   | -1.23942    
130  | c0aee1ef   | -5.46508     | bf10acb7   | -0.56514    
131  | 3ede50d3   | 0.43421      | 3f87e357   | 1.06163     
132  | bfb48d52   | -1.41056     | c0f2cae9   | -7.58727    
133  | bfad186a   | -1.35231     | bf715c11   | -0.94281    
134  | c0bcf33c   | -5.90469     | 4110d8ac   | 9.05290     
135  | c01e8bdf   | -2.47729     | c09fd4f6   | -4.99475    
136  | 3f0cd549   | 0.55013      | c058ed13   | -3.38947    
137  | 409b8604   | 4.86011      | 3e208e59   | 0.15679     
138  | 403eee56   | 2.98330      | c0bc6569   | -5.88738    
139  | 3e78c89e   | 0.24295      | c0f7a9d3   | -7.73948    
140  | 3fa17d05   | 1.26163      | 404602f4   | 3.09393     
141  | c0183b1c   | -2.37861     | 3fc14dda   | 1.51019     
142  | c071521a   | -3.77064     | 409d5499   | 4.91658     
143  | 40020830   | 2.03175      | 40e127e8   | 7.03612     
144  | c040402e   | -3.00392     | bf777cb3   | -0.96675    
145  | 400787af   | 2.11766      | 404bd68b   | 3.18497     
146  | bf02b833   | -0.51062     | 40f6e4c4   | 7.71543     
147  | c07cd4ec   | -3.95050     | befe7d99   | -0.49705    
148  | c0c36b9b   | -6.10689     | 3f769364   | 0.96319     
149  | 400299f0   | 2.04065      | c00e022f   | -2.21888    
150  | c08436b9   | -4.13168     | c08e3cf6   | -4.44494    
151  | 40e5d3f0   | 7.18212      | 40dfa782   | 6.98920     
152  | c0fb958e   | -7.86201     | 3ff8f797   | 1.94506     
153  | 4062e26e   | 3.54507      | 40c76f72   | 6.23235     
154  | 4001c9c5   | 2.02794      | 3df18062   | 0.11792     
155  | c00fe87f   | -2.24857     | c082df98   | -4.08979    
156  | 40554912   | 3.33258      | c025bd31   | -2.58967    
